Date,Open,High,Low,Close,Adj Close,Volume
08-08-11,505.6000061,516.6749878,498.2999878,502.6749878,410.0105286,6549306
09-08-11,482.5,492.6000061,473.8500061,482.3999939,393.4732056,8159270
10-08-11,499.5,506,486.8999939,492.0249939,401.3237915,5949080
11-08-11,490,491.7000122,481.5,489.1749878,398.9992065,2900464
12-08-11,495.2749939,495.9500122,468.75,473.5750122,386.2750854,4169084
16-08-11,483.5,489.1749878,478.0249939,486.7999878,397.0620728,2983568
17-08-11,487.25,504.7000122,485,499.9500122,407.7879639,4557892
18-08-11,502.9500122,504.6499939,479,481.1749878,392.4740601,3619896
19-08-11,471.5,473.4750061,452.5,464.4750061,378.8525391,5443614
22-08-11,464.5,465,451,459.0249939,374.4072876,3528922
23-08-11,460.4249878,494,460.1749878,490.7999878,400.3247681,4874670
24-08-11,489,489,477.5,481.2999878,392.5759583,3194790
25-08-11,484.8500061,486.5,469,475.2000122,387.6005249,4445488
26-08-11,475.5499878,484.75,470,474.2250061,386.8052368,3584910
29-08-11,482.0499878,512,482.0499878,509.7999878,415.8222656,5590444
30-08-11,515,525.1500244,512.0750122,521.2000122,425.1207581,5966682
02-09-11,536.5,537.375,506,511.0499878,416.8417664,4413506
05-09-11,507.8999939,516.5999756,499.2250061,513.8499756,419.1255798,3789658
06-09-11,509,521,502.5,516.9500122,421.6542053,4763292
07-09-11,517.0499878,525,512.5,515.5,420.4714355,4432156
08-09-11,516.5,527.4749756,514.5,518.0250244,422.5310669,4892662
09-09-11,520,525.7999878,505.3250122,508.0249939,414.3744507,5062650
12-09-11,500,501.9249878,489.3250122,492.8500061,401.9968872,3297170
13-09-11,498.8999939,512,494.375,496.875,405.2798462,3798204
14-09-11,500.5,514.5,496.875,507.5499878,413.986969,4745632
15-09-11,514,522.9000244,505,520.875,424.8555908,3852238
16-09-11,524,536.2000122,510.6499939,513.875,419.1459961,4656504
19-09-11,510.75,516.25,506.25,509.0249939,415.1900635,2240234
20-09-11,511.0499878,532,511.0499878,528.9749756,431.4624634,3487986
21-09-11,533.9749756,533.9749756,518.4500122,521.75,425.5693359,2740760
22-09-11,511.5,517,493.1000061,497.2000122,405.5449524,3141570
