2025-12-16 17:27:44,164 | INFO | modules.ingestion.realtime_stream | Real-time price for AAPL: 274.114990234375
2025-12-16 17:27:59,425 | INFO | modules.ingestion.realtime_stream | Real-time price for AAPL: 274.114990234375
2025-12-16 17:28:14,683 | INFO | modules.ingestion.realtime_stream | Real-time price for AAPL: 274.114990234375
2025-12-16 17:28:29,877 | INFO | modules.ingestion.realtime_stream | Real-time price for AAPL: 274.114990234375
2025-12-16 17:28:45,123 | INFO | modules.ingestion.realtime_stream | Real-time price for AAPL: 274.114990234375
2025-12-16 17:29:00,376 | INFO | modules.ingestion.realtime_stream | Real-time price for AAPL: 274.114990234375
2025-12-16 17:29:15,725 | INFO | modules.ingestion.realtime_stream | Real-time price for AAPL: 274.114990234375
2025-12-16 17:29:31,069 | INFO | modules.ingestion.realtime_stream | Real-time price for AAPL: 274.114990234375
2025-12-16 17:29:46,282 | INFO | modules.ingestion.realtime_stream | Real-time price for AAPL: 274.114990234375
2025-12-16 17:30:01,498 | INFO | modules.ingestion.realtime_stream | Real-time price for AAPL: 274.114990234375
2025-12-16 17:32:21,871 | INFO | __main__ | Starting real-time prediction engine
2025-12-16 17:32:23,347 | INFO | modules.prediction.signal_generator | Generating trading signal
2025-12-16 17:32:23,347 | INFO | modules.prediction.signal_generator | Current: 274.1099853515625, Predicted: 246.34781303405762, Signal: SELL
2025-12-16 17:32:23,347 | INFO | modules.utils.helpers | DataFrame saved to data/raw/realtime/live_stream.csv
2025-12-16 17:32:24,171 | INFO | modules.ingestion.realtime_stream | Real-time price for AAPL: 274.114990234375
2025-12-16 17:32:39,328 | INFO | modules.ingestion.realtime_stream | Real-time price for AAPL: 274.114990234375
2025-12-16 17:32:53,461 | INFO | modules.prediction.signal_generator | Generating trading signal
2025-12-16 17:32:53,463 | INFO | modules.prediction.signal_generator | Current: 274.1099853515625, Predicted: 246.34781303405762, Signal: SELL
2025-12-16 17:32:53,469 | INFO | modules.utils.helpers | DataFrame saved to data/raw/realtime/live_stream.csv
2025-12-16 17:32:54,567 | INFO | modules.ingestion.realtime_stream | Real-time price for AAPL: 274.114990234375
2025-12-16 17:33:09,718 | INFO | modules.ingestion.realtime_stream | Real-time price for AAPL: 274.114990234375
2025-12-16 17:33:23,565 | INFO | modules.prediction.signal_generator | Generating trading signal
2025-12-16 17:33:23,567 | INFO | modules.prediction.signal_generator | Current: 274.1099853515625, Predicted: 246.34781303405762, Signal: SELL
2025-12-16 17:33:23,567 | INFO | modules.utils.helpers | DataFrame saved to data/raw/realtime/live_stream.csv
2025-12-16 17:33:24,880 | INFO | modules.ingestion.realtime_stream | Real-time price for AAPL: 274.114990234375
2025-12-16 17:33:40,052 | INFO | modules.ingestion.realtime_stream | Real-time price for AAPL: 274.114990234375
2025-12-16 17:33:53,669 | INFO | modules.prediction.signal_generator | Generating trading signal
2025-12-16 17:33:53,669 | INFO | modules.prediction.signal_generator | Current: 274.1099853515625, Predicted: 246.34781303405762, Signal: SELL
2025-12-16 17:33:53,682 | INFO | modules.utils.helpers | DataFrame saved to data/raw/realtime/live_stream.csv
2025-12-16 17:33:55,207 | INFO | modules.ingestion.realtime_stream | Real-time price for AAPL: 274.114990234375
2025-12-16 17:34:10,442 | INFO | modules.ingestion.realtime_stream | Real-time price for AAPL: 274.114990234375
2025-12-16 17:34:23,783 | INFO | modules.prediction.signal_generator | Generating trading signal
2025-12-16 17:34:23,783 | INFO | modules.prediction.signal_generator | Current: 274.1099853515625, Predicted: 246.34781303405762, Signal: SELL
2025-12-16 17:34:23,794 | INFO | modules.utils.helpers | DataFrame saved to data/raw/realtime/live_stream.csv
2025-12-16 17:34:25,615 | INFO | modules.ingestion.realtime_stream | Real-time price for AAPL: 274.114990234375
